epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,898.478,0.60867,1.09209,0.52936,0.92958,0.82095,0.91702,0.80703,0.62544,0.82095,0.91702,0.80703,0.60724,0.59646,0.81079,12.7884,0.67365,0.0008516,0.0008516,0.0008516
31,932.962,0.59021,1.03975,0.49912,0.92728,0.81468,0.92,0.79799,0.63353,0.81468,0.92,0.79799,0.61478,0.53124,0.83751,19.2524,0.66266,0.000812,0.000812,0.000812
32,966.533,0.58433,1.08641,0.49206,0.9217,0.83419,0.92,0.8072,0.62449,0.83419,0.92,0.8072,0.59978,0.65263,0.82286,15.8823,0.67786,0.0007724,0.0007724,0.0007724
33,1000.29,0.57885,1.05391,0.4844,0.91567,0.83405,0.92,0.80564,0.6542,0.83405,0.92,0.80564,0.60823,0.5528,0.79693,19.8481,0.66154,0.0007328,0.0007328,0.0007328
34,1033.27,0.54312,1.00014,0.46373,0.90719,0.83311,0.92,0.80379,0.62545,0.83311,0.92,0.80379,0.61199,0.61378,0.81331,17.3952,0.67679,0.0006932,0.0006932,0.0006932
35,1066.04,0.57097,1.00048,0.47969,0.9074,0.83216,0.92,0.80029,0.64523,0.83216,0.92,0.80029,0.6278,0.5224,0.78272,16.8549,0.6568,0.0006536,0.0006536,0.0006536
36,1097.14,0.56044,1.02911,0.5117,0.93735,0.83363,0.92,0.80073,0.64898,0.83363,0.92,0.80073,0.62731,0.56646,0.81626,16.0731,0.6626,0.000614,0.000614,0.000614
37,1130.76,0.5598,0.99041,0.45525,0.91067,0.82113,0.92,0.82405,0.67088,0.82113,0.92,0.82405,0.64707,0.52985,0.77502,17.1954,0.65898,0.0005744,0.0005744,0.0005744
38,1164.65,0.53892,0.98234,0.46825,0.90483,0.83396,0.92,0.82299,0.64943,0.83396,0.92,0.82299,0.64992,0.56211,0.7492,17.1766,0.66333,0.0005348,0.0005348,0.0005348
39,1203.13,0.50196,0.91925,0.42679,0.90393,0.83496,0.92,0.82585,0.66876,0.83496,0.92,0.82585,0.64107,0.54247,0.7374,16.7154,0.65544,0.0004952,0.0004952,0.0004952
40,1238.5,0.53926,1.0251,0.44969,0.90596,0.83369,0.92,0.81841,0.66262,0.83369,0.92,0.81841,0.62779,0.53433,0.75147,19.1338,0.65386,0.0004556,0.0004556,0.0004556
41,1270.45,0.43604,0.91566,0.42422,0.85241,0.8314,0.92,0.80149,0.60257,0.8314,0.92,0.80149,0.60346,0.58632,0.78027,14.1865,0.67166,0.000416,0.000416,0.000416
42,1303.67,0.41062,0.86846,0.3817,0.84633,0.82081,0.91616,0.80024,0.61711,0.82081,0.91616,0.80024,0.61576,0.59465,0.78347,20.8349,0.67177,0.0003764,0.0003764,0.0003764
43,1337.83,0.42608,0.86678,0.37874,0.83335,0.81909,0.90558,0.80116,0.62809,0.81909,0.90558,0.80116,0.62338,0.56534,0.75693,17.1133,0.66972,0.0003368,0.0003368,0.0003368
44,1375.86,0.40541,0.82748,0.35628,0.83152,0.82091,0.92,0.80351,0.64124,0.82091,0.92,0.80351,0.62928,0.58702,0.77477,16.5669,0.67478,0.0002972,0.0002972,0.0002972
45,1411.89,0.39954,0.79325,0.33916,0.83502,0.83467,0.92,0.8023,0.6393,0.83467,0.92,0.8023,0.60677,0.5702,0.76985,19.6222,0.67323,0.0002576,0.0002576,0.0002576
46,1445.85,0.39499,0.83249,0.33716,0.83732,0.83498,0.92,0.80244,0.62005,0.83498,0.92,0.80244,0.61868,0.5869,0.76223,18.6088,0.6739,0.000218,0.000218,0.000218
47,1481.14,0.38018,0.84758,0.33504,0.82397,0.83477,0.92,0.8017,0.63693,0.83477,0.92,0.8017,0.6245,0.57541,0.77677,17.3173,0.67184,0.0001784,0.0001784,0.0001784
48,1515.2,0.38727,0.82641,0.33531,0.84771,0.83479,0.92,0.80183,0.64402,0.83479,0.92,0.80183,0.62581,0.57356,0.76384,17.5858,0.66821,0.0001388,0.0001388,0.0001388
49,1549.08,0.36205,0.82648,0.32399,0.83235,0.83483,0.92,0.80849,0.65591,0.83483,0.92,0.80849,0.64111,0.563,0.75572,18.2033,0.66761,9.92e-05,9.92e-05,9.92e-05
50,1581.77,0.36294,0.80182,0.32708,0.83659,0.83482,0.92,0.80871,0.65354,0.83482,0.92,0.80871,0.6362,0.55969,0.75578,18.9094,0.66603,5.96e-05,5.96e-05,5.96e-05
